track_id,album_id,artist_id,artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres
1XTISXdLJLRXKNc0suhnZV,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,The Voice Of Cheese,Uncle Meat,Album,1969-04-21,"Uncle Meat: Main Title Theme (01:56)/The Voice Of Cheese (00:26)/Nine Types Of Industrial Pollution (06:00)/Zolar Czakl (00:54)/Dog Breath, In The Year Of The Plague (03:59)/The Legend Of The Golden Arches (03:27)/Louie Louie - Live At The Royal Albert Hall, London/1967 (02:19)/The Dog Breath Variations (01:48)/Sleeping In A Jar (00:50)/Our Bizarre Relationship (01:05)/The Uncle Meat Variations (04:46)/Electric Aunt Jemima (01:46)/Prelude To King Kong (03:38)/God Bless America - Live At The Whisky A Go Go/1968 (01:10)/A Pound For A Brown On The Bus (01:29)/Ian Underwood Whips It Out - Live At The Falkoner Theater, Copenhagen/1967 (05:05)/Mr. Green Genes (03:13)/We Can Shoot You (02:03)/If We'd All Been Living In California (01:13)/The Air (02:57)/Project X (04:49)/Cruisin' For Burgers (02:21)/Uncle Meat Film Excerpt Part I (37:35)/Tengo Na Minchia Tanta (03:46)/Uncle Meat Film Excerpt Part II (03:51)/King Kong Itself (as played by the Mothers in a studio) (00:51)/King Kong (Its Magnificence As Interpreted By Dom DeWild) (01:19)/King Kong (As Motorhead Explains It) (01:44)/King Kong (The Gardner Varieties) (06:20)/King Kong (As Played By 3 Deranged Good Humor Trucks) (00:31)/King Kong (Live On A Flat Bed Diesel In The Middle Of A Race Track At A Miami Pop Festival...The Underwood Remifications) (07:28",https://i.scdn.co/image/ab67616d00001e02aafe320f53908021da2349ba,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock
65MwB4COqLosiXDMYnGhRY,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Uncle Meat: Main Title Theme,Uncle Meat,Album,1969-04-21,"Uncle Meat: Main Title Theme (01:56)/The Voice Of Cheese (00:26)/Nine Types Of Industrial Pollution (06:00)/Zolar Czakl (00:54)/Dog Breath, In The Year Of The Plague (03:59)/The Legend Of The Golden Arches (03:27)/Louie Louie - Live At The Royal Albert Hall, London/1967 (02:19)/The Dog Breath Variations (01:48)/Sleeping In A Jar (00:50)/Our Bizarre Relationship (01:05)/The Uncle Meat Variations (04:46)/Electric Aunt Jemima (01:46)/Prelude To King Kong (03:38)/God Bless America - Live At The Whisky A Go Go/1968 (01:10)/A Pound For A Brown On The Bus (01:29)/Ian Underwood Whips It Out - Live At The Falkoner Theater, Copenhagen/1967 (05:05)/Mr. Green Genes (03:13)/We Can Shoot You (02:03)/If We'd All Been Living In California (01:13)/The Air (02:57)/Project X (04:49)/Cruisin' For Burgers (02:21)/Uncle Meat Film Excerpt Part I (37:35)/Tengo Na Minchia Tanta (03:46)/Uncle Meat Film Excerpt Part II (03:51)/King Kong Itself (as played by the Mothers in a studio) (00:51)/King Kong (Its Magnificence As Interpreted By Dom DeWild) (01:19)/King Kong (As Motorhead Explains It) (01:44)/King Kong (The Gardner Varieties) (06:20)/King Kong (As Played By 3 Deranged Good Humor Trucks) (00:31)/King Kong (Live On A Flat Bed Diesel In The Middle Of A Race Track At A Miami Pop Festival...The Underwood Remifications) (07:28",https://i.scdn.co/image/ab67616d00001e02aafe320f53908021da2349ba,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock
2WeRy1nUg1j0lzWe8VhkC6,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Deseri,Cruising With Ruben & The Jets,Album,1968-12-02,Cheap Thrills (02:39)/Love Of My Life (03:08)/How Could I Be Such A Fool (03:34)/Deseri (02:08)/I'm Not Satisfied (04:08)/Jelly Roll Gum Drop (02:24)/Anything (03:05)/Later That Night (03:00)/You Didn't Try To Call Me (03:57)/Fountain Of Love (03:22)/No. No. No. (02:15)/Anyway The Wind Blows (03:01)/Stuff Up The Cracks (04:39,https://i.scdn.co/image/ab67616d00001e02f8d437fbe39a921c433d03c8,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock
0ongCDNtgI19em8txHsXRy,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,How Could I Be Such A Fool,Cruising With Ruben & The Jets,Album,1968-12-02,Cheap Thrills (02:39)/Love Of My Life (03:08)/How Could I Be Such A Fool (03:34)/Deseri (02:08)/I'm Not Satisfied (04:08)/Jelly Roll Gum Drop (02:24)/Anything (03:05)/Later That Night (03:00)/You Didn't Try To Call Me (03:57)/Fountain Of Love (03:22)/No. No. No. (02:15)/Anyway The Wind Blows (03:01)/Stuff Up The Cracks (04:39,https://i.scdn.co/image/ab67616d00001e02f8d437fbe39a921c433d03c8,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock
2XOdh3xaiOIcWTBpIaDjOH,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Love Of My Life,Cruising With Ruben & The Jets,Album,1968-12-02,Cheap Thrills (02:39)/Love Of My Life (03:08)/How Could I Be Such A Fool (03:34)/Deseri (02:08)/I'm Not Satisfied (04:08)/Jelly Roll Gum Drop (02:24)/Anything (03:05)/Later That Night (03:00)/You Didn't Try To Call Me (03:57)/Fountain Of Love (03:22)/No. No. No. (02:15)/Anyway The Wind Blows (03:01)/Stuff Up The Cracks (04:39,https://i.scdn.co/image/ab67616d00001e02f8d437fbe39a921c433d03c8,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock
3XjbKcULhaRFTWcvzFY7OC,4VzRaSdKOXscjw5v3sur81,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Il Potere Del Canto,Ferro Battuto,Album,2001-04-13,Running Against The Grain (03:41)/Bist Du Bei Mir (04:19)/La quiete dopo un addio (03:54)/Personalità Empirica (03:34)/Il cammino interminabile (03:44)/Lontananze D'Azzurro (03:28)/Hey Joe (03:33)/Sarcofagia (03:42)/Scherzo in minore (03:21)/Il Potere Del Canto (04:03)/Öde (07:05,https://i.scdn.co/image/ab67616d00001e028fce06487f0b979fb9d8d77a,Italian Singer-songwriter/Singer-songwriter
1tNsEnoJLHTYhqeDvWzbKg,4VzRaSdKOXscjw5v3sur81,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Scherzo in minore,Ferro Battuto,Album,2001-04-13,Running Against The Grain (03:41)/Bist Du Bei Mir (04:19)/La quiete dopo un addio (03:54)/Personalità Empirica (03:34)/Il cammino interminabile (03:44)/Lontananze D'Azzurro (03:28)/Hey Joe (03:33)/Sarcofagia (03:42)/Scherzo in minore (03:21)/Il Potere Del Canto (04:03)/Öde (07:05,https://i.scdn.co/image/ab67616d00001e028fce06487f0b979fb9d8d77a,Italian Singer-songwriter/Singer-songwriter
5WPfU9TAfTqZ3Trk4U1Nms,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Epilogo (2023 Remastered Version),Bokeh,Album,2023-11-17,"Il grande fiume (2023 Remix) (18:06)/Arc en ciel (2023 Remix) (02:36)/Sentiero nel prato, porta nell'universo (2023 Remix) (09:47)/Un giorno (2023 Remix) (05:19)/In una nuova terra? (2023 Remix) (04:40)/Arc en ciel 2 (2023 Remix) (02:36)/Prologo (2023 Remastered Version) (05:04)/Ezra Pound (2023 Remastered Version) (07:15)/'99 (2023 Remastered Version) (10:46)/La leggerezza della libertà (2023 Remastered Version) (02:50)/Asrava (2023 Remastered Version) (09:08)/Terra incognita (2023 Remastered Version) (07:49)/Epilogo (2023 Remastered Version) (03:35",https://i.scdn.co/image/ab67616d00001e024484c45f75fee5aebf6787a2,Progressive Rock/Art Rock
3FK1NhyktJp0Nav4YQ70wy,1KqjFxlP8j40TXaVlupe0s,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Oh Sweet Were The Hours - Remastered,Como Un Camello En Un Canalon (Remastered),Album,1993,Pobre Patria - Remastered (03:43)/Sagradas Sinfonias Del Tiempo - Remastered (03:44)/Como Un Camello En Un Canalon - Remastered (03:29)/La Sombra De La Luz - Remastered (04:52)/Schmerzen - Remastered (02:48)/Plaisir D'Amour - Remastered (03:55)/Gestillte Sehnsucht - Remastered (05:45)/Oh Sweet Were The Hours - Remastered (03:39,https://i.scdn.co/image/ab67616d00001e02c87ebb5e9978a3a85c9bae1a,Italian Singer-songwriter/Singer-songwriter
1suorELeXIm3oOGm6WaHCM,1KqjFxlP8j40TXaVlupe0s,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Gestillte Sehnsucht - Remastered,Como Un Camello En Un Canalon (Remastered),Album,1993,Pobre Patria - Remastered (03:43)/Sagradas Sinfonias Del Tiempo - Remastered (03:44)/Como Un Camello En Un Canalon - Remastered (03:29)/La Sombra De La Luz - Remastered (04:52)/Schmerzen - Remastered (02:48)/Plaisir D'Amour - Remastered (03:55)/Gestillte Sehnsucht - Remastered (05:45)/Oh Sweet Were The Hours - Remastered (03:39,https://i.scdn.co/image/ab67616d00001e02c87ebb5e9978a3a85c9bae1a,Italian Singer-songwriter/Singer-songwriter
