artist,alphaname,artist_id
The Beatles,"Beatles, The",3WrFJ7ztbogyGnTHbHJFl2
Jeff Beck,"Beck, Jeff",0AD4odMWVQ2wUSlgxOB5Rl
Chuck Berry,"Berry, Chuck",293zczrfYafIItmnmM3coR
Black Sabbath,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ
Blind Faith,Blind Faith,5GUVj2b1lJ4DolQyHlzyaO
"Blood, Sweat & Tears","Blood, Sweat & Tears",24GaH9tRBgZjlvOhpFuKi2
Blue Öyster Cult,Blue Öyster Cult,00tVTdpEhQQw1bqdu8RCx2
Tommy Bolin,"Bolin, Tommy",5FCC6oo9PupahFuLGEPdMB
Booker T. & the M.G.'s,Booker T. & the M.G.'s,2vDV0T8sxx2ENnKXds75e5
Anouar Brahem,"Brahem, Anouar",1aO9NulHwrE9pxHXFfCIoM
Brand X,4DngluvBNHm2Q0rLW1yEqy
The Brian Jonestown Massacre,"Brian Jonestown Massacre, The",30uiS1n3uIGXJEYFR1GVDy
Jackson Browne,"Browne, Jackson",5lkiCO9UQ8B23dZ1o0UV4m
Buena Vista Social Club,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW
Buffalo Springfield,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr
The Byrds,"Byrds, The",1PCZpxHJz7WAMF8EEq8bfc
CAN,CAN,4l8xPGtl6DHR2uvunqrl8r
J.J. Cale,"Cale, J.J.",06nsZ3qSOYZ2hPVIMcr1IN
Camel,Camel,3Uz6jx81OY2J5K8Z4wmy2P
Captain Beefheart & His Magic Band,Captain Beefheart & His Magic Band,2k8kY9zHUWxuTtwV4UutHw
Eric Clapton,"Clapton, Eric",6PAt558ZEZl0DmdXlnjMgD
Climax Blues Band,Climax Blues Band,4eeRviM714mXXeILmKHxh2
Billy Cobham,"Cobham, Billy",0IwfuIL3gUJxjzUqY3wJ3j
John Coltrane,"Coltrane, John",2hGh5VOeeqimQFxqXvfCUf
Cream,Cream,74oJ4qxwOZvX6oSsu1DGnw
Creedence Clearwater Revival,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd
Cressida,Cressida,3Mv2LWIIrvxUKyqnXX1CSD
"Crosby, Stills & Nash","Crosby, Stills & Nash",2pdvghEHZJtgSXZ7cvNLou
"Crosby, Stills, Nash & Young","Crosby, Stills, Nash & Young",1CYsQCypByMVgnv17qsSbQ
Curved Air,Curved Air,3UtSTTCQ0EMUQxmsfZ3Px1
The Dandy Warhols,"Dandy Warhols, The",7siPLyFwRFYQkKgWKJ5Sod
Pino Daniele,"Daniele, Pino",2eFv7NVs8R6Go7msuqikeg
Miles Davis,"Davis, Miles",0kbYTNQb4Pb1rPbbaF0pT4
Claude Debussy,"Debussy, Claude",1Uff91EOsvd99rtAupatMP
Deep Purple,Deep Purple,568ZhdwyaiCyOGJRtNYhWf
Deodato,Deodato,0hE3uA2w3guHeKvuc7BpRr
Dire Straits,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T
Dissidenten,Dissidenten,7LGjULfs3CUorLei47BKKk
Donovan,Donovan,6vLlQYujOujIrm7zAKzEdG
The Doors,"Doors, The",22WZ7M8sxp5THdruNY3gXt
Bob Dylan,"Dylan, Bob",74ASZWbe4lXaubB36ztrGX
East Of Eden,East Of Eden,4GWyclc3byUj9NDMZAtMHy
Duke Ellington,"Ellington, Duke",4F7Q5NV6h5TSwCainz8S5A
Embryo,Embryo,71TXox3zeu8QPFAiv07Qf4
"Emerson, Lake & Palmer","Emerson, Lake & Palmer",0nCiidE5GgDrc5kWN3NZgZ
Brian Eno,"Eno, Brian",7MSUfLeTdDEoZiJPDSBXgi
Donald Fagen,"Fagen, Donald",0S1SjYebdSaiMpI8xSW2Wb
