artist,alphaname,artist_id,genres
Pharoah Sanders,"Sanders, Pharoah",3JLUCojZaHrX2LaUkSj7Ud,Free Jazz/Jazz/Hard Bop
Porcupine Tree,Porcupine Tree,5NXHXK6hOCotCF8lvGM1I0,Progressive Rock/Progressive Metal/Art Rock/Space Rock
Procol Harum,Procol Harum,0GbqW5TJr7n4is453VOY4C,Progressive Rock/Symphonic Rock/Baroque Pop
Quella Vecchia Locanda,Quella Vecchia Locanda,0VrvpayEoQOjiRkZQcLX2R,Progressive Rock/Art Rock
Rainbow,Rainbow,6SLAMfhOi7UJI0fMztaK0m,Hard Rock/Album Rock/Metal/Heavy Metal
Rick Wakeman,"Wakeman, Rick",0mkcYaXUbJUs5mJointuzB,Progressive Rock/Symphonic Rock/Art Rock
Robert Fripp,"Fripp, Robert",5HKpBHDxIDNdtmEAGXGntl,Ambient/Art Rock/Progressive Rock/Drone/Experimental
Ruins,Ruins,5BQtEi4EgMhTTIZP6cZ7qg,Noise Rock/Math Rock/Avant-garde/Progressive Rock/Experimental
TOOL,TOOL,2yEwvVSSSUkcLeSTNyHKh8,Progressive Metal/Alternative Metal/Progressive Rock/Metal
Wayne Shorter,"Shorter, Wayne",0ZqhrTXYPA9DZR527ZnFdO,Hard Bop/Jazz/Bebop/Cool Jazz/Free Jazz/Jazz Fusion
Wishbone Ash,Wishbone Ash,77zwstbi3x1IxnbDFg6uns,Progressive Rock/Art Rock/Symphonic Rock
Xaal,Xaal,0SQAWkZ7Nd1xoesL8rO7kv,Progressive Rock/Symphonic Rock/Avant-garde
Zao,Zao,0rmjFLNZVqY4CXyFB0Gley,Jazz Fusion/Progressive Rock/Rhumba/Krautrock
Rabih Abou-Khalil,"Abou-Khalil, Rabih",7cM9Y2LNnnmmqivaEuH8vT,
Aerosmith,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,Classic Rock/Rock
Agitation Free,Agitation Free,1fvjrL59qNJVJKNQB8RUg3,Krautrock/Space Rock/Progressive Rock/Psychedelic Rock/Avant-garde
The Alan Parsons Project,"Alan Parsons Project, The",2m62cc253Xvd9qYQ8d2X3d,Symphonic Rock/Progressive Rock/Classic Rock
Allah-Las,Allah-Las,2yDodJUwXfdHzg4crwslUp,Surf Rock/Psychedelic Rock
Allman Brothers Band,Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,Southern Rock/Classic Rock/Blues Rock/Country Rock
Aphrodite's Child,Aphrodite's Child,2XhhAWeUOlrZnGOB7aKEI8,Progressive Rock/Psychedelic Rock/Baroque Pop/Krautrock/Art Rock
Arti & Mestieri,Arti & Mestieri,4kp3WqauG2CfMO6ZGXFXbh,Progressive Rock/Jazz Fusion/Krautrock/Art Rock
Arzachel,Arzachel,7LVjyVAxE7a4e9Od3lj3nX,Psychedelic Rock/Acid Rock/Krautrock/Progressive Rock
René Aubry,"Aubry, René",1dyZDfHcTtUJjx0DFBcOvc,
Bad Company,Bad Company,5AEG63ajney2BoDXi0Vb84,Classic Rock/Album Rock/Southern Rock/Hard Rock
Banco Del Mutuo Soccorso,Banco Del Mutuo Soccorso,4RuYtHjAKBufQRqBUMiOfK,Progressive Rock/Italian Singer-songwriter/Symphonic Rock/Art Rock
The Band,"Band, The",4vpDg7Y7fU982Ds30zawDA,Folk Rock/Roots Rock/Southern Rock/Americana
Hamid Baroudi,"Baroudi, Hamid",2KUvztaZ23NwLaNMD2qElz,Raï/Gnawa/Algerian Chaabi
The Beach Boys,"Beach Boys, The",3oDbviiivRWhXwIE8hxkVV,Baroque Pop
The Beatles,"Beatles, The",3WrFJ7ztbogyGnTHbHJFl2,Classic Rock/Psychedelic Rock
Jeff Beck,"Beck, Jeff",0AD4odMWVQ2wUSlgxOB5Rl,Jazz Fusion/Blues Rock/Blues
Chuck Berry,"Berry, Chuck",293zczrfYafIItmnmM3coR,Rockabilly/Rock And Roll
Black Sabbath,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Metal/Heavy Metal/Rock/Stoner Rock/Hard Rock/Doom Metal/Classic Rock
Blind Faith,Blind Faith,5GUVj2b1lJ4DolQyHlzyaO,
"Blood, Sweat & Tears","Blood, Sweat & Tears",24GaH9tRBgZjlvOhpFuKi2,
Blue Öyster Cult,Blue Öyster Cult,00tVTdpEhQQw1bqdu8RCx2,Classic Rock/Hard Rock
Tommy Bolin,"Bolin, Tommy",5FCC6oo9PupahFuLGEPdMB,Blues Rock/Modern Blues
Booker T. & the M.G.'s,Booker T. & the M.G.'s,2vDV0T8sxx2ENnKXds75e5,
Anouar Brahem,"Brahem, Anouar",1aO9NulHwrE9pxHXFfCIoM,
The Brian Jonestown Massacre,"Brian Jonestown Massacre, The",30uiS1n3uIGXJEYFR1GVDy,Shoegaze/Psychedelic Rock/Space Rock
Jackson Browne,"Browne, Jackson",5lkiCO9UQ8B23dZ1o0UV4m,Folk Rock/Soft Rock/Singer-songwriter
Buena Vista Social Club,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Son Cubano/Latin Jazz/Latin/Bolero
Buffalo Springfield,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Folk Rock/Country Rock
The Byrds,"Byrds, The",1PCZpxHJz7WAMF8EEq8bfc,Folk Rock/Country Rock/Psychedelic Rock/Acid Rock
CAN,CAN,4l8xPGtl6DHR2uvunqrl8r,Krautrock/Space Rock/Progressive Rock/Experimental/Art Rock/Psychedelic Rock/Proto-punk
J.J. Cale,"Cale, J.J.",06nsZ3qSOYZ2hPVIMcr1IN,Blues/Blues Rock/Roots Rock
Camel,Camel,3Uz6jx81OY2J5K8Z4wmy2P,Progressive Rock/Symphonic Rock/Art Rock/Space Rock/Krautrock
Captain Beefheart & His Magic Band,Captain Beefheart & His Magic Band,2k8kY9zHUWxuTtwV4UutHw,Proto-punk/Art Rock/Psychedelic Rock/Avant-garde/Acid Rock
Eric Clapton,"Clapton, Eric",6PAt558ZEZl0DmdXlnjMgD,Blues/Blues Rock/Classic Rock
Climax Blues Band,Climax Blues Band,4eeRviM714mXXeILmKHxh2,
Billy Cobham,"Cobham, Billy",0IwfuIL3gUJxjzUqY3wJ3j,Jazz Fusion/Jazz Funk/Jazz
John Coltrane,"Coltrane, John",2hGh5VOeeqimQFxqXvfCUf,Jazz/Hard Bop/Free Jazz/Bebop/Cool Jazz/Jazz Blues
Cream,Cream,74oJ4qxwOZvX6oSsu1DGnw,Classic Rock/Psychedelic Rock/Acid Rock/Blues Rock
Creedence Clearwater Revival,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Classic Rock/Southern Rock/Country Rock
Cressida,Cressida,3Mv2LWIIrvxUKyqnXX1CSD,Progressive Rock/Krautrock/Art Rock
"Crosby, Stills & Nash","Crosby, Stills & Nash",2pdvghEHZJtgSXZ7cvNLou,Folk Rock
"Crosby, Stills, Nash & Young","Crosby, Stills, Nash & Young",1CYsQCypByMVgnv17qsSbQ,Folk Rock/Classic Rock
Curved Air,Curved Air,3UtSTTCQ0EMUQxmsfZ3Px1,Progressive Rock/Art Rock/Symphonic Rock/Krautrock/Baroque Pop
The Dandy Warhols,"Dandy Warhols, The",7siPLyFwRFYQkKgWKJ5Sod,
Pino Daniele,"Daniele, Pino",2eFv7NVs8R6Go7msuqikeg,Italian Singer-songwriter/Canzone Napoletana/Singer-songwriter/Neomelodico
Miles Davis,"Davis, Miles",0kbYTNQb4Pb1rPbbaF0pT4,Jazz/Cool Jazz/Hard Bop/Bebop/Jazz Fusion/Jazz Blues/Free Jazz
Claude Debussy,"Debussy, Claude",1Uff91EOsvd99rtAupatMP,Classical Piano/Classical
Deep Purple,Deep Purple,568ZhdwyaiCyOGJRtNYhWf,Hard Rock/Classic Rock/Rock
Deodato,Deodato,0hE3uA2w3guHeKvuc7BpRr,Jazz Funk/Brazilian Jazz/Jazz Fusion
Dire Straits,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,Classic Rock
Dissidenten,Dissidenten,7LGjULfs3CUorLei47BKKk,Krautrock
Donovan,Donovan,6vLlQYujOujIrm7zAKzEdG,Folk Rock/Psychedelic Rock
The Doors,"Doors, The",22WZ7M8sxp5THdruNY3gXt,Psychedelic Rock/Classic Rock/Acid Rock
Bob Dylan,"Dylan, Bob",74ASZWbe4lXaubB36ztrGX,Folk Rock/Folk/Singer-songwriter/Roots Rock/Country Rock
East Of Eden,East Of Eden,4GWyclc3byUj9NDMZAtMHy,Progressive Rock/Krautrock
Duke Ellington,"Ellington, Duke",4F7Q5NV6h5TSwCainz8S5A,Jazz/Big Band/Swing Music/Cool Jazz
Embryo,Embryo,71TXox3zeu8QPFAiv07Qf4,Krautrock/Space Rock/Progressive Rock/Jazz Fusion
"Emerson, Lake & Palmer","Emerson, Lake & Palmer",0nCiidE5GgDrc5kWN3NZgZ,Progressive Rock/Symphonic Rock/Art Rock
Brian Eno,"Eno, Brian",7MSUfLeTdDEoZiJPDSBXgi,Ambient/Art Rock/Krautrock/Minimalism/Drone/Glam Rock
Donald Fagen,"Fagen, Donald",0S1SjYebdSaiMpI8xSW2Wb,Album Rock
Toufic Farroukh,"Farroukh, Toufic",1qEcIbzDD8hnKqIuFA0Uag,
Fleetwood Mac,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Classic Rock/Soft Rock
The Flock,"Flock, The",5ovNaBZ14L7pnXgts2aonH,Progressive Rock/Acid Rock
Focus,Focus,0ifzzRKdmtgaHy9cfnnyCR,Progressive Rock/Symphonic Rock/Nederpop
Free,Free,2e53aHBQdCMKWqHDuyJsjC,Classic Rock
Bill Frisell,"Frisell, Bill",3SONlwqLIP2GtaMh9pLYe5,Jazz/Jazz Fusion
Jerry Garcia,"Garcia, Jerry",3QDaXfnxfQqqJQK5lSdjLN,Bluegrass
Renaud Garcia-Fons,"Garcia-Fons, Renaud",2beRN3D0I38WBoTqrUTgjZ,French Jazz
Genesis,Genesis,3CkvROUTQ6nRi9yQOcsB50,Progressive Rock/Symphonic Rock/Art Rock
Philip Glass,"Glass, Philip",69lxxQvsfAIoQbB20bEPFC,Minimalism/Classical/Neoclassical
Gong,Gong,47yvARr7dCOKqvjDVwfbf3,Space Rock/Progressive Rock/Krautrock/Psychedelic Rock/Art Rock/Jazz Fusion/Acid Rock/Symphonic Rock/Avant-garde
