artist,alphaname,artist_id,genres
Spirit,Spirit,5q9nLsvWwbSUW1kRyhZLAx,Acid Rock/Psychedelic Rock/Progressive Rock/Garage Rock
Steely Dan,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,Classic Rock
Stephen Stills,"Stills, Stephen",4WlSvDKaq1PA2Nr7cCIPxX,Folk Rock/Country Rock/Singer-songwriter
Igor Stravinsky,"Stravinsky, Igor",7ie36YytMoKtPiL7tUvmoE,Classical/Neoclassical/Orchestra
Strawberry Alarm Clock,Strawberry Alarm Clock,1nyQBzKgZ2hBLr7PnyV7cI,Psychedelic Rock/Acid Rock/Psychedelic Pop/Baroque Pop
Sun Ra,Sun Ra,0tIODqvzGUoEaK26rK4pvX,Free Jazz/Jazz/Avant-garde/Hard Bop
T. Rex,T. Rex,3dBVyJ7JuOMt4GE9607Qin,Glam Rock/Proto-punk
Masayoshi Takanaka,"Takanaka, Masayoshi",2Ex4vjQ6mSh5woTlDWto6d,Jazz Fusion/City Pop/Jazz Funk
Talking Heads,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,New Wave/Post-punk
Tangerine Dream,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,Krautrock/Space Music/Space Rock/New Age/Progressive Rock/Ambient
Mick Taylor,"Taylor, Mick",4tkgLX1wdWoOu2lyeQNYAi,Blues/Blues Rock
Television,Television,0S7Zur2g8YhqlzqtlYStli,Proto-punk/Post-punk/Art Rock/New Wave
Ten Years After,Ten Years After,7nkLRaWHImCvWGHdNGnhVE,Blues Rock/Psychedelic Rock
Tinariwen,Tinariwen,2sf2owtFSCvz2MLfxmNdkb,Gnawa
Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Classic Rock
Traffic,Traffic,1CD77o9fbdyQFrHnUPUEsF,Psychedelic Rock/Acid Rock/Classic Rock/Progressive Rock
Traveling Wilburys,Traveling Wilburys,2hO4YtXUFJiUYS2uYFvHNK,
Triumvirat,Triumvirat,3lnV6khgTreN8QiqtSAAgW,Progressive Rock/Krautrock/Symphonic Rock/Art Rock
UFO,UFO,2Omy3P5hFZym7FKum1JA1s,Hard Rock/Album Rock/Space Rock/Heavy Metal
Ultimate Spinach,Ultimate Spinach,38ULknnQK6G4oLJtTtPkkM,Psychedelic Rock/Acid Rock/Krautrock
Umphrey's McGee,Umphrey's McGee,7mQilAy42MqNPqUFqK4Z0o,Newgrass
Van Der Graaf Generator,Van Der Graaf Generator,02frazNrWgZCxUEf4UTfHt,Progressive Rock/Art Rock/Symphonic Rock/Krautrock/Space Rock
Van Halen,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,Glam Metal/Classic Rock/Rock/Hard Rock
Vangelis,Vangelis,4P70aqttdpJ9vuYFDmf7f6,New Age
Eddie Vedder,"Vedder, Eddie",0mXTJETA4XUa12MmmXxZJh,Acoustic Rock
The Velvet Underground,"Velvet Underground, The",1nJvji2KIlWSseXRSlNYsC,Proto-punk/Art Rock
Tom Waits,"Waits, Tom",7x83XhcMbOTl1UdYsPTuZM,Dark Cabaret/Singer-songwriter
Weather Report,Weather Report,162DCkd8aDKwvjBb74Gu8b,Jazz Fusion/Jazz/Jazz Funk/Free Jazz
The Who,"Who, The",67ea9eGLXYMsO2eYQRui3w,Classic Rock/Rock
Ronnie Wood,"Wood, Ronnie",5HFtQOrPHOFptM1WF9xPuK,Blues Rock
Wooden Shjips,Wooden Shjips,35rFgnhlSSYflP4HpC3JM0,Psychedelic Rock/Space Rock/Shoegaze/Krautrock/Stoner Rock
The Yardbirds,"Yardbirds, The",2lxX1ivRYp26soIavdG9bX,Psychedelic Rock/Acid Rock/Blues Rock
Yes,Yes,7AC976RDJzL2asmZuz7qil,Progressive Rock/Symphonic Rock/Art Rock/Album Rock
Neil Young,"Young, Neil",6v8FB84lnmJs434UJf2Mrm,Classic Rock/Folk Rock/Singer-songwriter/Roots Rock
ZZ Top,ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,Southern Rock/Classic Rock/Blues Rock/Rock
Frank Zappa,"Zappa, Frank",6ra4GIOgCZQZMOaUECftGN,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock
The Zodiac,"Zodiac, The",6WjwK23EyMwi19waNsrjwz,Psychedelic Rock/Acid Rock
Zucchero,Zucchero,2KftmGt9sk1yLjsAoloC3M,Italo Dance/Italian Singer-songwriter
Zupfgeigenhansel,Zupfgeigenhansel,2aszSUPRu3IJLXmbEdyTk4,Singer-songwriter/Folk
